######################################################################
# Flux calibration file: fluxcal_20140520232930.txt
# Date: 20140520
# Time: 23:29:30
# Target flux =  2000.00
# Exposure Limits =     2.00      60.00
# Lamp bulb hours = 188.0
# Last calibration file: fluxcal_20140430010222.txt
######################################################################
command    wl     flux       signal    exptime   previous    % change
-------   ----  ----------  ----------  -------  ----------  --------
fluxcal    320        4.74      284.35    60.00        1.00    373.92
fluxcal    325        4.75      285.16    60.00        1.02    365.95
fluxcal    330        4.76      285.31    60.00        1.07    344.41
fluxcal    335        4.80      288.11    60.00        1.13    324.95
fluxcal    340        4.89      293.49    60.00        1.22    300.94
fluxcal    345        4.98      298.73    60.00        1.29    285.96
fluxcal    350        5.03      301.75    60.00        1.31    283.90
fluxcal    355        5.11      306.47    60.00        1.38    270.13
fluxcal    360        5.22      313.40    60.00        1.46    257.77
fluxcal    365        5.39      323.26    60.00        1.53    252.14
fluxcal    370        5.62      337.26    60.00        1.62    246.97
fluxcal    375        5.94      356.52    60.00        1.72    245.47
fluxcal    380        6.42      385.22    60.00        1.84    248.93
fluxcal    385        7.05      423.01    60.00        1.96    259.70
fluxcal    390        7.90      473.80    60.00        2.11    274.25
fluxcal    395        9.02      541.41    60.00        2.29    294.04
fluxcal    400       10.44      626.16    60.00        2.51    315.78
fluxcal    405       12.17      730.24    60.00        2.76    340.97
fluxcal    410       14.44      866.52    60.00        3.07    370.42
fluxcal    415       17.36     1041.86    60.00        3.47    400.41
fluxcal    420       21.51     1290.67    60.00        4.01    436.44
fluxcal    425       29.60     1776.14    60.00        4.99    493.23
fluxcal    430       59.03     3541.88    60.00        8.39    603.59
fluxcal    435      208.46    12507.77    60.00       25.92    704.25
fluxcal    440      586.22    16432.12    28.03       71.35    721.61
fluxcal    445     1013.25    16530.73    16.31      122.59    726.54
fluxcal    450     1256.96    16549.82    13.17      151.90    727.49
fluxcal    455     1254.58    16515.20    13.16      151.93    725.76
fluxcal    460     1358.02    16496.81    12.15      164.64    724.84
fluxcal    465     1486.27    16483.88    11.09      180.33    724.19
fluxcal    470     1621.18    16476.20    10.16      196.79    723.81
fluxcal    475     1772.03    16449.61     9.28      215.45    722.48
fluxcal    480     1945.69    16424.87     8.44      236.92    721.24
fluxcal    485     2123.66    16401.46     7.72      258.96    720.07
fluxcal    490     2286.76    16370.82     7.16      279.37    718.54
fluxcal    495     2422.69    16350.77     6.75      296.34    717.54
fluxcal    500     2544.45    16320.53     6.41      311.81    716.03
fluxcal    505     2672.38    16307.92     6.10      327.74    715.40
fluxcal    510     2817.03    16287.16     5.78      345.92    714.36
fluxcal    515     2981.28    16268.46     5.46      366.51    713.42
fluxcal    520     3151.34    16237.75     5.15      388.15    711.89
